id,Region_Code,Region,area_code,Area,Electorate,ExpectedBallots,VerifiedBallotPapers,Pct_Turnout,Votes_Cast,Valid_Votes,Remain,Leave,Rejected_Ballots
1,E12000007,London,E09000001,City of London,5987,4405,4405,73.58,4405,4399,3312,1087,6
2,E12000007,London,E09000002,Barking and Dagenham,115812,73943,73941,63.85,73941,73880,27750,46130,61
3,E12000007,London,E09000003,Barnet,223467,161209,161208,72.14,161218,161033,100210,60823,185
4,E12000007,London,E09000004,Bexley,170779,128571,128570,75.28,128570,128489,47603,80886,81
5,E12000007,London,E09000005,Brent,186793,121676,121678,65.14,121671,121404,72523,48881,267
6,E12000007,London,E09000006,Bromley,231473,182570,182570,78.87,182570,182432,92398,90034,138
7,E12000007,London,E09000007,Camden,145425,95288,95282,65.52,95281,95133,71295,23838,148
8,E12000007,London,E09000008,Croydon,245349,171295,171292,69.81,171289,171134,92913,78221,155
9,E12000007,London,E09000009,Ealing,212991,149267,149267,70.08,149268,149041,90024,59017,227
10,E12000007,London,E09000010,Enfield,198387,137054,137056,69.09,137056,136906,76425,60481,150
11,E12000007,London,E09000011,Greenwich,168967,117470,117472,69.52,117470,117365,65248,52117,105
12,E12000007,London,E09000012,Hackney,163284,106422,106422,65.18,106422,106266,83398,22868,156
13,E12000007,London,E09000013,Hammersmith and Fulham,114863,80351,80350,69.95,80347,80242,56188,24054,105
14,E12000007,London,E09000014,Haringey,150098,106043,106034,70.64,106032,105846,79991,25855,186
15,E12000007,London,E09000015,Harrow,162397,117363,117361,72.26,117352,117225,64042,53183,127
16,E12000007,London,E09000016,Havering,183082,139179,139176,76.02,139175,139086,42201,96885,89
17,E12000007,London,E09000017,Hillingdon,193033,133171,133171,68.99,133170,133022,58040,74982,148
18,E12000007,London,E09000018,Hounslow,165050,115211,115209,69.8,115208,115076,58755,56321,132
19,E12000007,London,E09000019,Islington,144514,101739,101726,70.39,101723,101600,76420,25180,123
20,E12000007,London,E09000020,Kensington and Chelsea,83042,54803,54801,65.99,54801,54739,37601,17138,62
21,E12000007,London,E09000021,Kingston upon Thames,108838,85334,85335,78.4,85330,85270,52533,32737,60
22,E12000007,London,E09000022,Lambeth,210800,142162,142162,67.44,142162,141924,111584,30340,238
23,E12000007,London,E09000023,Lewisham,197514,124634,124622,63.1,124637,124473,86955,37518,164
24,E12000007,London,E09000024,Merton,136352,100215,100207,73.49,100207,100100,63003,37097,107
25,E12000007,London,E09000025,Newham,176985,104869,104861,59.25,104864,104699,55328,49371,165
26,E12000007,London,E09000026,Redbridge,189843,128439,128423,67.63,128397,128233,69213,59020,164
27,E12000007,London,E09000027,Richmond upon Thames,132632,108892,108888,82.09,108876,108806,75396,33410,70
28,E12000007,London,E09000028,Southwark,195875,129688,129680,66.2,129677,129502,94293,35209,175
29,E12000007,London,E09000029,Sutton,140288,106633,106630,76.01,106633,106560,49319,57241,73
30,E12000007,London,E09000030,Tower Hamlets,167820,108421,108403,64.6,108420,108235,73011,35224,185
31,E12000007,London,E09000031,Waltham Forest,162983,108695,108689,66.69,108689,108551,64156,44395,138
32,E12000007,London,E09000032,Wandsworth,219521,158018,158018,71.98,158018,157884,118463,39421,134
33,E12000007,London,E09000033,Westminster,120524,78325,78325,64.99,78325,78196,53928,24268,129
34,E12000002,North West,E08000001,Bolton,197109,138206,138180,70.1,138180,138080,57589,80491,100
35,E12000002,North West,E08000002,Bury,141600,101153,101144,71.43,101144,101028,46354,54674,116
36,E12000002,North West,E08000003,Manchester,338064,202073,202067,59.77,202067,201814,121823,79991,253
37,E12000002,North West,E08000004,Oldham,158084,107493,107493,68,107493,107403,42034,65369,90
38,E12000002,North West,E08000005,Rochdale,156621,103319,103319,65.97,103319,103231,41217,62014,88
39,E12000002,North West,E08000006,Salford,173668,109926,109926,63.3,109926,109815,47430,62385,111
40,E12000002,North West,E08000007,Stockport,221162,163586,163584,73.97,163584,163489,85559,77930,95
41,E12000002,North West,E08000008,Tameside,168047,111018,111016,66.06,111016,110947,43118,67829,69
42,E12000002,North West,E08000009,Trafford,165294,125400,125400,75.86,125400,125311,72293,53018,89
43,E12000002,North West,E08000010,Wigan,235982,163381,163381,69.23,163381,163273,58942,104331,108
44,E12000002,North West,E08000011,Knowsley,111647,70939,70937,63.54,70937,70903,34345,36558,34
45,E12000002,North West,E08000012,Liverpool,317924,203733,203728,64.08,203728,203554,118453,85101,174
46,E12000002,North West,E08000013,St. Helens,136096,93730,93721,68.86,93721,93679,39322,54357,42
47,E12000002,North West,E08000014,Sefton,206298,147970,147970,71.73,147970,147878,76702,71176,92
48,E12000002,North West,E08000015,Wirral,242568,172137,172137,70.96,172137,172000,88931,83069,137
49,E12000003,Yorkshire and The Humber,E08000016,Barnsley,175809,122982,122972,69.95,122972,122909,38951,83958,63
50,E12000003,Yorkshire and The Humber,E08000017,Doncaster,217432,151254,151246,69.56,151246,151182,46922,104260,64
51,E12000003,Yorkshire and The Humber,E08000018,Rotherham,197623,137478,137474,69.56,137470,137387,44115,93272,83
52,E12000003,Yorkshire and The Humber,E08000019,Sheffield,396406,266954,266951,67.34,266951,266753,130735,136018,198
53,E12000001,North East,E08000037,Gateshead,145866,103009,103007,70.62,103007,102958,44429,58529,49
54,E12000001,North East,E08000021,Newcastle upon Tyne,190735,129072,129072,67.67,129072,129003,65405,63598,69
55,E12000001,North East,E08000022,North Tyneside,156993,113527,113507,72.3,113507,113462,52873,60589,45
56,E12000001,North East,E08000023,South Tyneside,115893,79126,79117,68.27,79117,79079,30014,49065,38
57,E12000001,North East,E08000024,Sunderland,207221,134404,134400,64.86,134400,134324,51930,82394,76
58,E12000005,West Midlands,E08000025,Birmingham,707293,451422,451336,63.81,451316,450702,223451,227251,614
59,E12000005,West Midlands,E08000026,Coventry,221389,153241,153234,69.21,153234,153064,67967,85097,170
60,E12000005,West Midlands,E08000027,Dudley,244516,175351,175333,71.71,175333,175226,56780,118446,107
61,E12000005,West Midlands,E08000028,Sandwell,221429,147428,147418,66.58,147418,147254,49004,98250,164
62,E12000005,West Midlands,E08000029,Solihull,160425,122026,122017,76.06,122020,121950,53466,68484,70
63,E12000005,West Midlands,E08000030,Walsall,194729,135690,135684,69.68,135685,135579,43572,92007,106
64,E12000005,West Midlands,E08000031,Wolverhampton,174760,118038,118037,67.54,118037,117936,44138,73798,101
65,E12000003,Yorkshire and The Humber,E08000032,Bradford,342817,228729,228729,66.72,228727,228488,104575,123913,239
66,E12000003,Yorkshire and The Humber,E08000033,Calderdale,149195,106005,106008,71.05,106004,105925,46950,58975,79
67,E12000003,Yorkshire and The Humber,E08000034,Kirklees,307081,217460,217449,70.8,217428,217240,98485,118755,188
68,E12000003,Yorkshire and The Humber,E08000035,Leeds,543033,387730,387730,71.39,387677,387337,194863,192474,340
69,E12000003,Yorkshire and The Humber,E08000036,Wakefield,246096,175261,175259,71.17,175155,175042,58877,116165,113
70,E12000001,North East,E06000001,Hartlepool,70341,46137,46134,65.59,46134,46100,14029,32071,34
71,E12000001,North East,E06000002,Middlesbrough,94612,61395,61393,64.89,61393,61358,21181,40177,35
72,E12000001,North East,E06000003,Redcar and Cleveland,103529,72741,72741,70.26,72741,72714,24586,48128,27
73,E12000001,North East,E06000004,Stockton-on-Tees,141486,100462,100460,71,100460,100415,38433,61982,45
74,E12000001,North East,E06000005,Darlington,77662,55194,55195,71.07,55195,55166,24172,30994,29
75,E12000001,North East,E06000047,County Durham,389507,267577,267546,68.69,267546,267398,113521,153877,148
76,E12000001,North East,E06000057,Northumberland,240496,178830,178815,74.35,178815,178721,82022,96699,94
77,E12000002,North West,E06000049,Cheshire East,285957,221229,221229,77.36,221229,221125,107962,113163,104
78,E12000002,North West,E06000006,Halton,95289,65047,65047,68.26,65047,65005,27678,37327,42
79,E12000002,North West,E06000007,Warrington,157042,115206,115206,73.36,115205,115144,52657,62487,61
80,E12000002,North West,E06000050,Cheshire West and Chester,259878,193640,193633,74.51,193633,193537,95455,98082,96
81,E12000002,North West,E06000008,Blackburn with Darwen,100117,65416,65408,65.33,65408,65321,28522,36799,87
82,E12000002,North West,E06000009,Blackpool,102354,66959,66959,65.42,66959,66927,21781,45146,32
83,E12000003,Yorkshire and The Humber,E06000010,"Kingston upon Hull, City of",180230,113439,113439,62.94,113436,113355,36709,76646,81
84,E12000003,Yorkshire and The Humber,E06000011,East Riding of Yorkshire,266047,199056,199039,74.81,199036,198915,78779,120136,121
85,E12000003,Yorkshire and The Humber,E06000012,North East Lincolnshire,116302,79016,79013,67.94,79011,78982,23797,55185,29
86,E12000003,Yorkshire and The Humber,E06000013,North Lincolnshire,123611,88912,88907,71.92,88906,88862,29947,58915,44
87,E12000003,Yorkshire and The Humber,E06000014,York,155157,109695,109691,70.69,109681,109600,63617,45983,81
88,E12000004,East Midlands,E06000015,Derby,171246,120807,120798,70.53,120772,120655,51612,69043,117
89,E12000004,East Midlands,E06000016,Leicester,213819,139319,139309,65.15,139307,138972,70980,67992,335
90,E12000004,East Midlands,E06000017,Rutland,29390,22989,22986,78.2,22984,22966,11353,11613,18
91,E12000004,East Midlands,E06000018,Nottingham,195394,120792,120792,61.82,120791,120661,59318,61343,130
92,E12000005,West Midlands,E06000019,"Herefordshire, County of",138247,108336,108336,78.36,108336,108270,44148,64122,66
93,E12000005,West Midlands,E06000020,Telford and Wrekin,124338,89707,89704,72.15,89704,89603,32954,56649,101
94,E12000005,West Midlands,E06000051,Shropshire,236788,183328,183324,77.42,183323,183153,78987,104166,170
95,E12000005,West Midlands,E06000021,Stoke-on-Trent,179010,117691,117680,65.74,117674,117590,36027,81563,84
96,E12000009,South West,E06000022,Bath and North East Somerset,136522,105300,105298,77.13,105300,105230,60878,44352,70
97,E12000009,South West,E06000023,"Bristol, City of",312465,228704,228678,73.17,228646,228445,141027,87418,201
98,E12000009,South West,E06000024,North Somerset,160860,124637,124622,77.47,124622,124548,59572,64976,74
99,E12000009,South West,E06000025,South Gloucestershire,207793,158444,158424,76.24,158427,158333,74928,83405,94
100,E12000009,South West,E06000052,Cornwall,419755,323528,323491,77.05,323442,323205,140540,182665,237
101,E12000009,South West,E06000053,Isles of Scilly,1799,1424,1424,79.16,1424,1424,803,621,0
102,E12000009,South West,E06000026,Plymouth,186989,133537,133524,71.41,133523,133455,53458,79997,68
103,E12000009,South West,E06000027,Torbay,102961,75873,75868,73.69,75868,75824,27935,47889,44
104,E12000009,South West,E06000028,Bournemouth,132752,92002,91998,69.3,91997,91926,41473,50453,71
105,E12000009,South West,E06000029,Poole,113421,85500,85494,75.38,85493,85448,35741,49707,45
106,E12000009,South West,E06000030,Swindon,148960,113064,113060,75.9,113060,112965,51220,61745,95
107,E12000009,South West,E06000054,Wiltshire,366555,289110,289102,78.87,289102,288895,137258,151637,207
108,E12000006,East,E06000031,Peterborough,120892,87474,87469,72.35,87469,87392,34176,53216,77
109,E12000006,East,E06000032,Luton,127612,84633,84636,66.31,84616,84481,36708,47773,135
110,E12000006,East,E06000055,Bedford,119530,86136,86136,72.06,86135,86066,41497,44569,69
111,E12000006,East,E06000056,Central Bedfordshire,204004,158904,158896,77.89,158894,158804,69670,89134,90
112,E12000006,East,E06000033,Southend-on-Sea,128856,93948,93939,72.9,93939,93870,39348,54522,69
113,E12000006,East,E06000034,Thurrock,109897,79969,79954,72.75,79950,79916,22151,57765,34
114,E12000008,South East,E06000035,Medway,192524,138975,138975,72.18,138973,138886,49889,88997,87
115,E12000008,South East,E06000036,Bracknell Forest,85298,64928,64922,76.11,64922,64890,29888,35002,32
116,E12000008,South East,E06000037,West Berkshire,116757,93347,93345,79.95,93345,93277,48300,44977,68
117,E12000008,South East,E06000038,Reading,103172,74832,74825,72.53,74826,74767,43385,31382,59
118,E12000008,South East,E06000039,Slough,87873,54605,54604,62.13,54598,54542,24911,29631,56
119,E12000008,South East,E06000040,Windsor and Maidenhead,102665,81866,81865,79.73,81855,81792,44086,37706,63
120,E12000008,South East,E06000041,Wokingham,121891,97559,97551,80.03,97551,97501,55272,42229,50
121,E12000008,South East,E06000042,Milton Keynes,177211,130535,130536,73.66,130534,130456,63393,67063,78
122,E12000008,South East,E06000043,Brighton and Hove,198293,146846,146840,74.05,146829,146675,100648,46027,154
123,E12000008,South East,E06000044,Portsmouth,140517,98799,98786,70.3,98786,98720,41384,57336,66
124,E12000008,South East,E06000045,Southampton,158171,107775,107772,68.14,107775,107665,49738,57927,110
125,E12000008,South East,E06000046,Isle of Wight,109844,79431,79430,72.31,79430,79380,30207,49173,50
126,W92000004,Wales,W06000001,Isle of Anglesey,51445,37980,37981,73.82,37978,37951,18618,19333,27
127,W92000004,Wales,W06000002,Gwynedd,84575,61245,61245,72.42,61245,61182,35517,25665,63
128,W92000004,Wales,W06000003,Conwy,91368,65558,65558,71.75,65554,65504,30147,35357,50
129,W92000004,Wales,W06000004,Denbighshire,75362,52108,52108,69.14,52108,52072,23955,28117,36
130,W92000004,Wales,W06000005,Flintshire,115964,86857,86854,74.9,86854,86797,37867,48930,57
131,W92000004,Wales,W06000006,Wrexham,98384,70409,70407,71.56,70407,70366,28822,41544,41
132,W92000004,Wales,W06000023,Powys,103270,79519,79517,77,79515,79469,36762,42707,46
133,W92000004,Wales,W06000008,Ceredigion,53400,39775,39772,74.48,39772,39742,21711,18031,30
134,W92000004,Wales,W06000009,Pembrokeshire,92155,68556,68555,74.39,68555,68522,29367,39155,33
135,W92000004,Wales,W06000010,Carmarthenshire,139227,103129,103126,74.07,103126,103035,47654,55381,91
136,W92000004,Wales,W06000011,Swansea,172941,120371,120362,69.6,120362,120243,58307,61936,119
137,W92000004,Wales,W06000012,Neath Port Talbot,105766,75695,75694,71.57,75694,75652,32651,43001,42
138,W92000004,Wales,W06000013,Bridgend,104492,74379,74380,71.18,74378,74345,33723,40622,33
139,W92000004,Wales,W06000014,Vale of Glamorgan,95011,72348,72347,76.15,72348,72309,36681,35628,39
140,W92000004,Wales,W06000016,Rhondda Cynon Taf,172890,116645,116645,67.47,116645,116563,53973,62590,82
141,W92000004,Wales,W06000024,Merthyr Tydfil,42855,28881,28881,67.39,28881,28865,12574,16291,16
142,W92000004,Wales,W06000018,Caerphilly,130801,92531,92528,70.74,92525,92473,39178,53295,52
143,W92000004,Wales,W06000019,Blaenau Gwent,51136,34812,34812,68.08,34812,34802,13215,21587,10
144,W92000004,Wales,W06000020,Torfaen,68957,48177,48172,69.86,48172,48144,19363,28781,28
145,W92000004,Wales,W06000021,Monmouthshire,71607,55670,55670,77.74,55670,55630,28061,27569,40
146,W92000004,Wales,W06000022,Newport,104977,73708,73708,70.21,73708,73649,32413,41236,59
147,W92000004,Wales,W06000015,Cardiff,243689,169762,169753,69.66,169745,169604,101788,67816,141
148,S92000003,Scotland,S12000033,Aberdeen City,154266,104809,104809,67.94,104809,104714,63985,40729,95
149,S92000003,Scotland,S12000034,Aberdeenshire,196809,139014,139014,70.63,139014,138961,76445,62516,53
150,S92000003,Scotland,S12000041,Angus,87137,59295,59282,68.03,59282,59258,32747,26511,24
151,S92000003,Scotland,S12000035,Argyll and Bute,66642,48734,48734,73.13,48734,48696,29494,19202,38
152,S92000003,Scotland,S12000026,Scottish Borders,88440,64953,64953,73.44,64953,64914,37952,26962,39
153,S92000003,Scotland,S12000005,Clackmannanshire,37841,25439,25439,67.23,25439,25427,14691,10736,12
154,S92000003,Scotland,S12000039,West Dunbartonshire,67595,43250,43245,63.98,43245,43220,26794,16426,25
155,S92000003,Scotland,S12000006,Dumfries and Galloway,115837,82718,82715,71.41,82715,82667,43864,38803,48
156,S92000003,Scotland,S12000042,Dundee City,105554,66418,66418,62.92,66418,66385,39688,26697,33
157,S92000003,Scotland,S12000008,East Ayrshire,91977,57859,57859,62.91,57859,57833,33891,23942,26
158,S92000003,Scotland,S12000045,East Dunbartonshire,83031,62418,62418,75.17,62418,62374,44534,17840,44
159,S92000003,Scotland,S12000010,East Lothian,77788,55822,55800,71.73,55800,55764,36026,19738,36
160,S92000003,Scotland,S12000011,East Renfrewshire,69575,52970,52969,76.13,52969,52941,39345,13596,28
161,S92000003,Scotland,S12000036,City of Edinburgh,346073,252490,252481,72.96,252481,252294,187796,64498,187
162,S92000003,Scotland,S12000014,Falkirk,117392,79304,79302,67.55,79302,79258,44987,34271,44
163,S92000003,Scotland,S12000015,Fife,272995,182307,182307,66.78,182307,182220,106754,75466,87
164,S92000003,Scotland,S12000046,Glasgow City,449806,253000,253000,56.25,253000,252809,168335,84474,191
165,S92000003,Scotland,S12000017,Highland,175563,125728,125728,71.61,125728,125657,70308,55349,71
166,S92000003,Scotland,S12000018,Inverclyde,58624,38722,38722,66.05,38722,38698,24688,14010,24
167,S92000003,Scotland,S12000019,Midlothian,66758,45505,45497,68.15,45497,45468,28217,17251,29
168,S92000003,Scotland,S12000020,Moray,71370,48148,48139,67.45,48139,48106,24114,23992,33
169,S92000003,Scotland,S12000021,North Ayrshire,104572,67548,67548,64.59,67548,67504,38394,29110,44
170,S92000003,Scotland,S12000044,North Lanarkshire,254567,155045,155045,60.91,155045,154949,95549,59400,96
171,S92000003,Scotland,S12000023,Orkney Islands,16658,11402,11402,68.45,11402,11382,7189,4193,20
